id_projeto,desc_nome,situacao,organizacao_resp,valor_investimento_previsto,qtd_investimentos_previstos,somente_investimento_001,dt_inicial_prevista,dt_final_prevista,natureza_intervencao,especie_intervencao,sistema_resp,latitude_representativa_publica,longitude_representativa_publica,qtd_coordenadas_encontradas,localizacao_disponivel
74711.42-59,PAC 2 - Cobertura de Quadra Escolar 064,Cadastrada,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO,0.01,1,True,2014-12-18,2015-12-31,Obra,Reforma,SIMEC-FNDE,-27.59667,-48.54944,1,True
137124.42-02,Escola 06 Salas São Valentin II - Jaborá - SC,Cadastrada,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO,0.01,1,True,2025-06-27,2026-07-22,Obra,Reforma,SIMEC-FNDE,-27.59667,-48.54944,1,True
72494.42-43,PAC 2 - Construção de Quadra Escolar Coberta 005,Cadastrada,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO,0.01,1,True,2014-08-11,2014-12-09,Obra,Reforma,SIMEC-FNDE,-27.59667,-48.54944,1,True
87704.42-98,CEB Alberto Balduíno Barchfeld - Trombudo Central - SC,Em execução,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO,0.01,1,True,2024-10-16,2025-12-31,Obra,Reforma,SIMEC-FNDE,-27.59667,-48.54944,1,True
137161.42-91,CEIM PRIMEIROS PASSOS - Lages - SC,Cadastrada,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO,0.01,1,True,2025-11-21,2027-02-19,Obra,Reforma,SIMEC-FNDE,-27.59667,-48.54944,1,True
86844.42-36,Creche Municipal Núcleo Rio Doce - Lebon Régis - SC,Em execução,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO,0.01,1,True,2023-07-11,2026-06-30,Obra,Reforma,SIMEC-FNDE,-27.59667,-48.54944,1,True
86901.42-96,EMEF Prof. Alice Olinger Dias - Guaramirim - SC,Cadastrada,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO,0.01,1,True,2021-08-09,2022-01-08,Obra,Reforma,SIMEC-FNDE,-27.59667,-48.54944,1,True
73901.42-59,CEI Majorca,Cadastrada,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO,0.01,1,True,2016-03-01,2019-09-08,Obra,Reforma,SIMEC-FNDE,-27.59667,-48.54944,1,True
88800.42-20,CEIM GIRASSOL - Lages - SC,Em execução,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO,0.01,1,True,2025-06-11,2026-06-11,Obra,Reforma,SIMEC-FNDE,-27.59667,-48.54944,1,True
85624.42-86,EMEB SAUL DE ATHAYDE,Paralisada,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO,0.01,1,True,2018-06-11,2021-11-02,Obra,Reforma,SIMEC-FNDE,-27.59667,-48.54944,1,True
87902.42-21,EMEBI Pe Cláudio Longen - Rio Negrinho - SC,Em execução,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO,0.01,1,True,2024-02-26,2026-02-16,Obra,Reforma,SIMEC-FNDE,-27.59667,-48.54944,1,True
87255.42-00,Construção Escola Nova Bernardo Rohden - Salete - SC,Em execução,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO,0.01,1,True,2021-11-29,2026-11-19,Obra,Reforma,SIMEC-FNDE,-27.59667,-48.54944,1,True
86796.42-97,ESPAÇO CRIANÇA FELIZ - Doutor Pedrinho - SC,Em execução,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO,0.01,1,True,2023-02-13,2026-12-31,Obra,Reforma,SIMEC-FNDE,-27.59667,-48.54944,1,True
83973.42-02,CEI RODOLFO SESTREM,Paralisada,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO,0.01,1,True,2016-12-01,2022-06-19,Obra,Reforma,SIMEC-FNDE,-27.59667,-48.54944,1,True
80001.42-48,CEIM BAIRRO SANTA HELENA,Paralisada,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO,0.01,1,True,2020-02-14,2021-06-13,Obra,Reforma,SIMEC-FNDE,-27.59667,-48.54944,1,True
87957.42-10,TERRENO URBANO - Painel - SC,Em execução,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO,0.01,1,True,2023-11-27,2026-05-27,Obra,Reforma,SIMEC-FNDE,-27.59667,-48.54944,1,True
132710.42-97,CEIM PRIMEIROS PASSOS - Lages - SC,Cadastrada,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO,0.01,1,True,2025-11-21,2027-02-19,Obra,Reforma,SIMEC-FNDE,-27.59667,-48.54944,1,True
138928.42-70,CEIM PRIMEIROS PASSOS - Lages - SC,Cadastrada,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO,0.01,1,True,2025-11-21,2027-02-19,Obra,Reforma,SIMEC-FNDE,-27.59667,-48.54944,1,True
79999.42-50,Creche Portal do Ribeirão,Cadastrada,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO,0.01,1,True,2016-06-29,2017-08-03,Obra,Reforma,SIMEC-FNDE,-27.59667,-48.54944,1,True
87559.42-30,Quadra Municipal Santo Agostinho - Quilombo - SC,Em execução,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO,0.01,1,True,2025-07-21,2026-07-21,Obra,Reforma,SIMEC-FNDE,-27.59667,-48.54944,1,True
72492.42-30,PAC 2 - Construção de Quadra Escolar Coberta 003,Cadastrada,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO,0.01,1,True,2014-07-03,2014-10-31,Obra,Reforma,SIMEC-FNDE,-27.59667,-48.54944,1,True
