id_projeto,situacao,score_temporal_v2,desc_nome,sistema_resp,natureza_intervencao,especie_intervencao,atraso_observavel_dias,faixa_temporal_v2,score_financeiro_v2,valor_planejado_utilizavel_total,financeiro_comparavel_v2,faixa_financeira_v2,motivo_financeiro,score_fisico_v2,fisico_calculavel_v2,motivo_calculabilidade,percentual_numerico,progresso_linear_esperado,score_situacao_v2,fisico_esperado_v2,tem_temporal,tem_situacao,tem_financeiro,tem_fisico,qtd_componentes_esperados,qtd_componentes_disponiveis,ipi_completo_v2,motivo_completude,ipi_v2,ipi_v2_exibicao,prioridade_A_ipi_v2_estrito,calculavel_A,calculavel_B,prioridade_B_3_componentes,calculavel_C,prioridade_C_2_componentes,tem_temporal_final,tem_situacao_final,tem_financeiro_final,ipi_final_calculavel,ipi_final,contrib_temporal_ipi,contrib_situacao_ipi,contrib_financeiro_ipi,ipi_final_por_pesos,motivo_ipi_final,sinal_fisico_disponivel,posicao_ipi_final,qtd_pins,qtd_pins_coordenada_completa,qtd_pins_validos_sc,qtd_pins_invalidos_ou_fora_sc,qualidade_localizacao,tem_ponto_representativo,indice_pin_representativo,latitude_representativa,longitude_representativa,soma_distancias_medoide_km,apto_localizacao_rota,id_local,id_tarefa,tempo_servico_min,premio_ipi,qtd_projetos_coordenada,coordenada_exclusiva,coordenada_compartilhada,apta_rota_automatica_v1,classe_uso_espacial_v1
1325.42-17,Paralisada,60,16 00967/2014,CIPI,Obra,Construção,488.0,203_a_492_dias,100.0,408178329.1,True,acima_P90,05_com_investimento_utilizavel,81.0,True,08_calculavel,19.0,100.0,100,True,True,True,True,True,4,4,True,completo,85.25,85.25,85.25,True,True,86.66666666666667,True,80.0,True,True,True,True,86.66666666666667,20.0,33.33333333333333,33.33333333333333,86.66666666666666,calculavel,True,1,1,1,1,0,localizacao_valida,True,0.0,-26.36997493,-48.68618718,0.0,True,L2648,P_1325.42-17,45.0,86.66666666666667,1,True,False,True,rota_automatica_v1
34216.42-00,Inacabada,80,CR 909543/2020 - REFORMA E REVITALIZAÇÃO DE ACESSO A ORLA DA AVENIDA ATLÂNTICA NO MUNICÍPIO DE BALNEÁRIO CAMBORIÚ/SC,Transferegov.br,Obra,Reforma,619.0,493_a_934_dias,80.0,1912413.42,True,P75_a_P90,05_com_investimento_utilizavel,100.0,True,08_calculavel,0.0,100.0,80,True,True,True,True,True,4,4,True,completo,85.0,85.0,85.0,True,True,80.0,True,80.0,True,True,True,True,80.0,26.666666666666664,26.666666666666664,26.666666666666664,80.0,calculavel,True,3,1,1,1,0,localizacao_valida,True,0.0,-26.98777,-48.63172,0.0,True,L1818,P_34216.42-00,45.0,80.0,1,True,False,True,rota_automatica_v1
110504.42-83,Inacabada,60,APOIO A PROJETO DE INFRAESTRUTURA TURÍSTICA - Reforma de Infraestrutura Urbana para adequação de espaços de Interesse Turístico na Orla da Lagoa da Conceição em Florianópolis/SC,CIPI,Obra,Construção,223.0,203_a_492_dias,100.0,4820029.68,True,acima_P90,05_com_investimento_utilizavel,100.0,True,08_calculavel,0.0,100.0,80,True,True,True,True,True,4,4,True,completo,85.0,85.0,85.0,True,True,80.0,True,70.0,True,True,True,True,80.0,20.0,26.666666666666664,33.33333333333333,80.0,calculavel,True,5,1,1,1,0,localizacao_valida,True,0.0,-27.6061773,-48.4630532,0.0,True,L0673,P_110504.42-83,45.0,80.0,1,True,False,True,rota_automatica_v1
19950.42-63,Inacabada,60,Construção do Centro de Pesquisas Ambientais e Agroveterinárias – CPAAV (CBS04) do Campus de Curitibanos,CIPI,Obra,Construção,392.0,203_a_492_dias,100.0,8699296.23,True,acima_P90,05_com_investimento_utilizavel,91.17,True,08_calculavel,8.83,100.0,80,True,True,True,True,True,4,4,True,completo,82.7925,82.79,82.7925,True,True,80.0,True,70.0,True,True,True,True,80.0,20.0,26.666666666666664,33.33333333333333,80.0,calculavel,True,6,1,1,1,0,localizacao_valida,True,0.0,-27.2844048542298,-50.534577137433,0.0,True,L1163,P_19950.42-63,45.0,80.0,1,True,False,True,rota_automatica_v1
13477.42-17,Inacabada,100,Pavimentação asfáltica de via no Município de Itá-SC,Transferegov.br,Obra,Construção,981.0,acima_de_934_dias,40.0,276891.42,True,P25_a_P50,05_com_investimento_utilizavel,,False,04_inicio_e_fim_ausentes,24.68,,80,True,True,True,True,False,4,3,False,ausente_fisico,,,,False,True,73.33333333333333,True,90.0,True,True,True,True,73.33333333333333,33.33333333333333,26.666666666666664,13.333333333333332,73.33333333333333,calculavel,False,14,1,1,1,0,localizacao_valida,True,0.0,-27.28388,-52.31771,0.0,True,L1165,P_13477.42-17,45.0,73.33333333333333,1,True,False,True,rota_automatica_v1
9504.42-01,Inacabada,100,Pavimentação Morro do Garcia,Transferegov.br,Obra,Construção,1248.0,acima_de_934_dias,40.0,248510.83,True,P25_a_P50,05_com_investimento_utilizavel,,False,04_inicio_e_fim_ausentes,100.0,,80,True,True,True,True,False,4,3,False,ausente_fisico,,,,False,True,73.33333333333333,True,90.0,True,True,True,True,73.33333333333333,33.33333333333333,26.666666666666664,13.333333333333332,73.33333333333333,calculavel,False,15,1,1,1,0,localizacao_valida,True,0.0,-27.68997,-48.83934,0.0,True,L0569,P_9504.42-01,45.0,73.33333333333333,1,True,False,True,rota_automatica_v1
24765.42-30,Em execução,100,Construção do Bloco 02 de Salas de Aula (CBS-02) do Campus de Curitibanos,CIPI,Obra,Construção,1098.0,acima_de_934_dias,100.0,22095585.03,True,acima_P90,05_com_investimento_utilizavel,99.5,True,08_calculavel,0.5,100.0,20,True,True,True,True,True,4,4,True,completo,79.875,79.88,79.875,True,True,73.33333333333333,True,60.0,True,True,True,True,73.33333333333333,33.33333333333333,6.666666666666666,33.33333333333333,73.33333333333331,calculavel,True,16,1,1,1,0,localizacao_valida,True,0.0,-27.2847216022763,-50.53540607073245,0.0,True,L1159,P_24765.42-30,45.0,73.33333333333333,1,True,False,True,rota_automatica_v1
3517.42-11,Em execução,100,16 00072/2020,SUPRA,Obra,Construção,1839.0,acima_de_934_dias,100.0,240696000.0,True,acima_P90,05_com_investimento_utilizavel,,False,04_inicio_e_fim_ausentes,0.0,,20,True,True,True,True,False,4,3,False,ausente_fisico,,,,False,True,73.33333333333333,True,60.0,True,True,True,True,73.33333333333333,33.33333333333333,6.666666666666666,33.33333333333333,73.33333333333331,calculavel,False,17,1,1,1,0,localizacao_valida,True,0.0,-26.447990188896,-48.9914486299503,0.0,True,L2561,P_3517.42-11,45.0,73.33333333333333,1,True,False,True,rota_automatica_v1
33621.42-09,Inacabada,80,CR 890011/2019 - CONSTRUÇÃO DE CALÇADÃO DE ACESSO A PRAÇA DO PESCADOR NO BAIRRO DA BARRA NO MUNICÍPIO DE BALNEÁRIO CAMBORIÚ/SC.,Transferegov.br,Obra,Construção,886.0,493_a_934_dias,60.0,549286.89,True,P50_a_P75,05_com_investimento_utilizavel,100.0,True,08_calculavel,0.0,100.0,80,True,True,True,True,True,4,4,True,completo,80.0,80.0,80.0,True,True,73.33333333333333,True,80.0,True,True,True,True,73.33333333333333,26.666666666666664,26.666666666666664,20.0,73.33333333333333,calculavel,True,18,3,3,3,0,localizacao_valida,True,1.0,-27.00773,-48.60363,0.1838319669959975,True,L1770,P_33621.42-09,45.0,73.33333333333333,1,True,False,True,rota_automatica_v1
59792.42-49,Inacabada,60,"Etapa II do Prédio do Centro de Ciências, Tecnologia e Saúde (CTS-03) do Campus de Araranguá",CIPI,Obra,Construção,467.0,203_a_492_dias,80.0,3944442.25,True,P75_a_P90,05_com_investimento_utilizavel,45.6,True,08_calculavel,54.4,100.0,80,True,True,True,True,True,4,4,True,completo,66.4,66.4,66.4,True,True,73.33333333333333,True,70.0,True,True,True,True,73.33333333333333,20.0,26.666666666666664,26.666666666666664,73.33333333333333,calculavel,True,19,1,1,1,0,localizacao_valida,True,0.0,-28.9491139502437,-49.49676553547981,0.0,True,L0087,P_59792.42-49,45.0,73.33333333333333,1,True,False,True,rota_automatica_v1
