id_projeto,desc_nome,situacao,organizacao_resp,valor_investimento_previsto,qtd_investimentos_previstos,somente_investimento_001,dt_inicial_prevista,dt_final_prevista,natureza_intervencao,especie_intervencao,sistema_resp,latitude_representativa_publica,longitude_representativa_publica,qtd_coordenadas_encontradas
14326.42-55,CR 899140/2020 - REFORMA DE CENTRO DE EVENTOS NO MUNICÍPIO DE BENEDITO NOVO/SC.,Concluída,MINISTERIO DA ECONOMIA,578582.0,1,False,2020-09-09,2024-12-16,Obra,Reforma,Transferegov.br,-26.77226,-49.36495,1
118529.42-09,Construção de quadra Poliesportiva no município de Imbituba SC.,Em execução,MINISTERIO DA ECONOMIA,248750.0,1,False,2021-09-27,2025-09-26,Obra,Construção,CIPI,,,0
22609.42-36,Pavimentação da Rua Augusta S. Fertig - Etapa 2,Concluída,MINISTERIO DA ECONOMIA,239095.1,1,False,2021-12-30,2024-09-30,Obra,Construção,Transferegov.br,-27.67773,-49.00646,1
24765.42-30,Construção do Bloco 02 de Salas de Aula (CBS-02) do Campus de Curitibanos,Em execução,UNIVERSIDADE FEDERAL DE SANTA CATARINA,22095585.03,1,False,2015-01-05,2020-11-30,Obra,Construção,CIPI,-27.2847216022763,-50.53540607073245,1
84019.42-72,PAC 2 - Construção de Quadra Escolar Coberta 001/2013 - Massaranduba - SC,Concluída,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO,0.01,1,True,2014-09-04,2015-11-02,Obra,Reforma,SIMEC-FNDE,-27.59667,-48.54944,1
23379.42-41,Entreposto de Pescados,Cadastrada,MINISTERIO DA ECONOMIA,1959069.31,1,False,2023-05-21,2024-12-30,Obra,Construção,Transferegov.br,-27.56037,-48.51754,1
94426.42-53,"Implantação, ampliação e melhorias nos Sistemas de Abastecimento de Água (SAA)",Cadastrada,MINISTERIO DA ECONOMIA,2110036.15,1,False,2025-09-11,2029-09-11,Obra,Construção,Transferegov.br,-28.46321,-49.35324,4
123524.42-90,Sedec - Recuperação de Infraestrutura afetada por desastre 59000.001220/2000-10,Cadastrada,MINISTÉRIO DA INTEGRAÇÃO E DO DESENVOLVIMENTO REGIONAL,5995.0,1,False,2000-06-26,2000-11-23,Obra,Recuperação,CIPI,-29.1683300265639,-49.96972,1
123835.42-83,ESTRUTURACAO DA REDE DE SERVICOS DE PROTECAO SOCIAL BASICA – CONSTRUCAO DE CENTRO PUBLICO DE CONVIVENCIA - CC,Concluída,MINISTERIO DA ECONOMIA,450450.45,1,False,2015-12-28,2018-06-28,Obra,Construção,CIPI,,,0
127501.42-33,Sedec - Execução de obras e serviços em áreas de risco de desastres com caráter preventivo que visem evitar ou reduzir os danos decorrentes de possíveis desastres 59050.002871/2010-03,Cadastrada,MINISTÉRIO DA INTEGRAÇÃO E DO DESENVOLVIMENTO REGIONAL,76408.0,1,False,2011-01-06,2013-01-04,Obra,Construção,CIPI,-26.8249000225803,-49.387,1
46081.42-80,Construção de 20 unidades habitacionais no município de Ituporanga/SC,Cadastrada,MINISTERIO DA ECONOMIA,2600000.0,1,False,2025-05-08,2028-05-08,Obra,Construção,Transferegov.br,-27.43525,-49.59915,1
22722.42-54,Pavimentação Estradas Vicinais,Cadastrada,MINISTERIO DA ECONOMIA,550000.0,1,False,2023-06-05,2023-12-31,Obra,Construção,Transferegov.br,-26.34652,-53.27883,1
5211.42-70,RDC n. 9/2021 - Obra de Pavimentação do Câmpus Criciúma,Cadastrada,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SANTA CATARINA",1065768.33,1,False,2022-02-01,2023-02-01,Projeto,Reforma,CIPI,,,0
