indice_no,id_no,tipo_no,id_projeto,nome,latitude,longitude,ipi_final,posicao_ipi_final,posicao_shortlist_227A,snap_source_m,snap_destination_m,snap_max_m,classe_snap,nome_via_source,nome_via_destination,apto_matriz_operacional,motivo_qualidade_operacional,indice_no_original_228,indice_no_operacional
0,ORIGEM,origem,,IFC,-27.0253,-48.6511,0.0,,0,29.38318666,29.38318666,29.38318666,ate_100m,Rua Basílio Pedro da Silva,Rua Basílio Pedro da Silva,True,origem_preservada,0,0
1,P_1325.42-17,projeto,1325.42-17,16 00967/2014,-26.36997493,-48.68618718,86.66666666666667,1.0,1,18.54127485,18.54127485,18.54127485,ate_100m,Rodovia Senador Luiz Henrique da Silveira,Rodovia Senador Luiz Henrique da Silveira,True,snap_ate_500m,1,1
2,P_34216.42-00,projeto,34216.42-00,CR 909543/2020 - REFORMA E REVITALIZAÇÃO DE ACESSO A ORLA DA AVENIDA ATLÂNTICA NO MUNICÍPIO DE BALNEÁRIO CAMBORIÚ/SC,-26.98777,-48.63172,80.0,3.0,2,15.15977981,15.15977981,15.15977981,ate_100m,Avenida Atlântica,Avenida Atlântica,True,snap_ate_500m,2,2
3,P_110504.42-83,projeto,110504.42-83,APOIO A PROJETO DE INFRAESTRUTURA TURÍSTICA - Reforma de Infraestrutura Urbana para adequação de espaços de Interesse Turístico na Orla da Lagoa da Conceição em Florianópolis/SC,-27.6061773,-48.4630532,80.0,5.0,3,1.800071987,1.800071987,1.800071987,ate_100m,Nova Ponte da Lagoa,Nova Ponte da Lagoa,True,snap_ate_500m,3,3
4,P_9504.42-01,projeto,9504.42-01,Pavimentação Morro do Garcia,-27.68997,-48.83934,73.33333333333333,15.0,4,4.872208608,4.872208608,4.872208608,ate_100m,,,True,snap_ate_500m,4,4
5,P_3517.42-11,projeto,3517.42-11,16 00072/2020,-26.447990188896,-48.9914486299503,73.33333333333333,17.0,5,136.8160795,136.8160795,136.8160795,100a500m,,,True,snap_ate_500m,5,5
6,P_33621.42-09,projeto,33621.42-09,CR 890011/2019 - CONSTRUÇÃO DE CALÇADÃO DE ACESSO A PRAÇA DO PESCADOR NO BAIRRO DA BARRA NO MUNICÍPIO DE BALNEÁRIO CAMBORIÚ/SC.,-27.00773,-48.60363,73.33333333333333,18.0,6,2.46979115,2.46979115,2.46979115,ate_100m,Rua José Francisco Vítor,Rua José Francisco Vítor,True,snap_ate_500m,6,6
7,P_59792.42-49,projeto,59792.42-49,"Etapa II do Prédio do Centro de Ciências, Tecnologia e Saúde (CTS-03) do Campus de Araranguá",-28.9491139502437,-49.49676553547981,73.33333333333333,19.0,7,40.21781193,40.21781193,40.21781193,ate_100m,,,True,snap_ate_500m,7,7
8,P_12670.42-00,projeto,12670.42-00,CTO nº 960/2010 - EVTEA - BR-282/SC,-27.5866979362084,-48.61643622,66.66666666666667,20.0,8,2.681993915,2.681993915,2.681993915,ate_100m,Rodovia Governador Mário Covas,Rodovia Governador Mário Covas,True,snap_ate_500m,8,8
9,P_17855.42-09,projeto,17855.42-09,Qualificação viária - adequação de obra de arte e adequação de vias - no município de Balneário Piçarras,-26.78037,-48.68259,66.66666666666667,21.0,9,32.12955421,32.12955421,32.12955421,ate_100m,Rua Ademar Pedro Ribeiro,Rua Ademar Pedro Ribeiro,True,snap_ate_500m,9,9
10,P_2188.42-70,projeto,2188.42-70,Edifício Sede da DRF/JOI,-26.3061391890651,-48.8326443538611,66.66666666666667,22.0,10,18.80123091,18.80123091,18.80123091,ate_100m,,,True,snap_ate_500m,10,10
11,P_2301.42-01,projeto,2301.42-01,00 01055/2013 - BR-470/SC - Gestão Ambiental,-26.8914945924456,-48.988771892851,66.66666666666667,24.0,11,3.108818862,3.108818862,3.108818862,ate_100m,Rodovia Ingo Hering,Rodovia Ingo Hering,True,snap_ate_500m,11,11
12,P_2320.42-90,projeto,2320.42-90,00 00086/2014 - BR-280/SC - EXECUÇÃO DE CONSULTORIA ESPECIALIZADA EM GESTÃO AMBIENTAL,-26.4485619375592,-48.8348502311734,66.66666666666667,25.0,12,2.445631276,2.445631276,2.445631276,ate_100m,Rodovia Senador Luiz Henrique da Silveira,Rodovia Senador Luiz Henrique da Silveira,True,snap_ate_500m,12,12
13,P_24598.42-45,projeto,24598.42-45,Novo Bloco de Salas de Aula (seriado),-26.2496112682818,-49.3500382758543,66.66666666666667,26.0,13,40.66448651,40.66448651,40.66448651,ate_100m,,,True,snap_ate_500m,13,13
14,P_3118.42-52,projeto,3118.42-52,Antiga Alfândega de Florianópolis/SC,-27.5974900238977,-48.55194,66.66666666666667,28.0,14,67.37080142,67.37080142,67.37080142,ate_100m,Avenida Paulo Fontes,Avenida Paulo Fontes,True,snap_ate_500m,14,14
15,P_5148.42-57,projeto,5148.42-57,RDC nº 10/2021 - Construção de nova edificação (prédio) destinada às atividades de pesquisa e inovação do Câmpus Florianópolis do IFSC.,-27.5939235590249,-48.5428439113937,66.66666666666667,31.0,15,19.51231146,19.51231146,19.51231146,ate_100m,,,True,snap_ate_500m,15,15
17,P_6323.42-42,projeto,6323.42-42,Obra de Requalificação da Fortaleza de São José da Ponta Grossa,-27.4309500236137,-48.5178,66.66666666666667,33.0,17,107.1377787,107.1377787,107.1377787,100a500m,Servidão da Carioca,Servidão da Carioca,True,snap_ate_500m,17,16
18,P_14274.42-90,projeto,14274.42-90,Pavimentação da rua Expedicionario João Liebel Sobrinho,-26.13739,-49.82852,66.66666666666667,34.0,18,0.610210919,0.610210919,0.610210919,ate_100m,Rua Expedicionário João Liebel Sobrinho,Rua Expedicionário João Liebel Sobrinho,True,snap_ate_500m,18,17
19,P_24840.42-02,projeto,24840.42-02,Pavimentação de via - Rua Emilio Jacobsen,-27.13478,-49.54005,66.66666666666667,35.0,19,0.6649725773,0.6649725773,0.6649725773,ate_100m,Rua Emílio Jacobsen,Rua Emílio Jacobsen,True,snap_ate_500m,19,18
20,P_1315.42-49,projeto,1315.42-49,16 00503/2019,-27.25507636,-49.94686193,66.66666666666667,37.0,20,5.537744275,5.537744275,5.537744275,ate_100m,Rodovia Ingo Hering,Rodovia Ingo Hering,True,snap_ate_500m,20,19
21,P_33718.42-94,projeto,33718.42-94,Intervenções para Recuperação e Restauração de Rodovias Federais na malha federal sob administração do DNIT no estado de SC,-28.1491670890411,-48.6918487246184,66.66666666666667,40.0,21,4.328595976,4.328595976,4.328595976,ate_100m,Rodovia Governador Mário Covas,Rodovia Governador Mário Covas,True,snap_ate_500m,21,20
22,P_4761.42-57,projeto,4761.42-57,PIAF 16.07.280 SC - Postos Integrados Automatizados de Fiscalização - PIAF - LOTE 19,-26.449940021942,-48.85628,66.66666666666667,41.0,22,2.445631276,2.445631276,2.445631276,ate_100m,Rodovia Senador Luiz Henrique da Silveira,Rodovia Senador Luiz Henrique da Silveira,True,snap_ate_500m,22,21
23,P_109912.42-72,projeto,109912.42-72,APOIO A PROJETOS DE INFRAESTRUTURA TURÍSTICA - Reforma da Praça Manoel Fortunato Sebastião e Construção de Trapiche no município de São Francisco do Sul - SC.,-26.2293037,-48.6121125,66.66666666666667,43.0,23,3.350100639,3.350100639,3.350100639,ate_100m,Rua Virgílio Machado Cidral,Rua Virgílio Machado Cidral,True,snap_ate_500m,23,22
24,P_110500.42-01,projeto,110500.42-01,Infraestrutura Turística na Orla da Praia do Iró no Município de Laguna/SC.,-28.498627,-48.758226,66.66666666666667,46.0,24,6.017491021,6.017491021,6.017491021,ate_100m,Rua Nestor M. Ramos,Rua Nestor M. Ramos,True,snap_ate_500m,24,23
25,P_110532.42-51,projeto,110532.42-51,APOIO A PROJETO DE INFRAESTRUTURA TURÍSTICA - Construção de Portais no município de São José-SC.,-27.6020416,-48.6116325,66.66666666666667,47.0,25,0.3161571016,0.3161571016,0.3161571016,ate_100m,,,True,snap_ate_500m,25,24
26,P_15027.42-76,projeto,15027.42-76,Campo de Futebol Municipal Quinca Ludo,-26.77818,-48.68263,66.66666666666667,48.0,26,74.89087214,74.89087214,74.89087214,ate_100m,Rua das Rosas,Rua das Rosas,True,snap_ate_500m,26,25
27,P_34193.42-70,projeto,34193.42-70,CR 909424/2020 - CONSTRUÇÃO DE PRAÇA NO MUNICÍPIO DE ATALANTA/SC,-27.41117,-49.7622,66.66666666666667,50.0,27,13.32073849,13.32073849,13.32073849,ate_100m,,,True,snap_ate_500m,27,26
28,P_15661.42-36,projeto,15661.42-36,Pavimentação Asfáltica de Via Pública no Município de Balneário Rincão/SC (Rua Sylvio Bittencourt - Etpa II),-28.50259,-49.17379,60.0,52.0,28,40.56728787,40.56728787,40.56728787,ate_100m,,,True,snap_ate_500m,28,27
29,P_17824.42-50,projeto,17824.42-50,Qualificação viária no município de Balneário Piçarras - Bairro Itacolomi,-26.73785,-48.69377,60.0,53.0,29,11.79694543,11.79694543,11.79694543,ate_100m,Rua Santa Luzia,Rua Santa Luzia,True,snap_ate_500m,29,28
30,P_24448.42-50,projeto,24448.42-50,Bloco de salas de aula (seriado),-26.2187700215491,-48.56942,60.0,54.0,30,28.33212635,28.33212635,28.33212635,ate_100m,Rua Professora Maria Stella Martins,Rua Professora Maria Stella Martins,True,snap_ate_500m,30,29
31,P_99255.42-58,projeto,99255.42-58,PARQUE LINEAR COM BACIA DE DETENCAO   RIO CAMBORIU EM CAMBORIU  SC,-27.02645,-48.64999,53.333333333333336,257.0,31,3.678300181,3.678300181,3.678300181,ate_100m,Rua Antônio Cassemiro Bittencourt,Rua Antônio Cassemiro Bittencourt,True,snap_ate_500m,31,30
32,P_5655.42-49,projeto,5655.42-49,Construção da quadra poliesportiva coberta do IFC Campus Camboriú.,-27.0165566960324,-48.6576739076863,53.333333333333336,157.0,32,38.37252613,38.37252613,38.37252613,ate_100m,Alameda Acadêmica,Alameda Acadêmica,True,snap_ate_500m,32,31
33,P_6606.42-35,projeto,6606.42-35,Delegacia e Unidade Operacional da Polícia Rodoviária Federal em Balneário Camboriú/SC,-27.0114800228983,-48.61459,60.0,91.0,33,11.73039878,11.73039878,11.73039878,ate_100m,Avenida Marginal Oeste,Avenida Marginal Oeste,True,snap_ate_500m,33,32
34,P_24600.42-07,projeto,24600.42-07,Ampliação de bloco para laboratórios do Curso de Agronomia,-27.01528708401,-48.6579864115706,46.66666666666666,361.0,34,5.541002777,5.541002777,5.541002777,ate_100m,Alameda Rio do Meio,Alameda Rio do Meio,True,snap_ate_500m,34,33
35,P_4931.42-00,projeto,4931.42-00,REFORMA DA ENFERMARIA DO CAMPUS CAMBORIÚ,-27.0157377492832,-48.6548174297229,46.66666666666666,313.0,35,53.39084228,53.39084228,53.39084228,ate_100m,Alameda Alma Mater,Alameda Alma Mater,True,snap_ate_500m,35,34
36,P_5659.42-08,projeto,5659.42-08,Construção da rampa de acesso ao segundo piso do Bloco J do IFC Campus Camboriú.,-27.0164351937271,-48.65984764138,46.66666666666666,319.0,36,16.62161299,16.62161299,16.62161299,ate_100m,Alameda da Capela,Alameda da Capela,True,snap_ate_500m,36,35
37,P_63721.42-47,projeto,63721.42-47,Construção do Ginásio CIE,-27.01653009224355,-48.65822479997291,40.0,746.0,37,8.680794139,8.680794139,8.680794139,ate_100m,Alameda Acadêmica,Alameda Acadêmica,True,snap_ate_500m,37,36
38,P_5657.42-73,projeto,5657.42-73,Aquisição de plataforma elevatória para o IFC Campus Camboriú.,-27.0151767479879,-48.6580073961675,40.0,494.0,38,13.8645516,13.8645516,13.8645516,ate_100m,Alameda Rio do Meio,Alameda Rio do Meio,True,snap_ate_500m,38,37
39,P_5658.42-30,projeto,5658.42-30,Construção de escada de acesso ao segundo piso do setor de abatedouro do IFC Campus Camboriú.,-27.0141260483745,-48.6594423920729,40.0,495.0,39,32.9810957,32.9810957,32.9810957,ate_100m,Alameda Universitária,Alameda Universitária,True,snap_ate_500m,39,38
40,P_39119.42-06,projeto,39119.42-06,Escola em Tempo Integral no bairro São Francisco de Assis,-27.02658,-48.63175,40.0,713.0,40,32.35395866,32.35395866,32.35395866,ate_100m,Rua São Gustavo,Rua São Gustavo,True,snap_ate_500m,40,39
41,P_4929.42-30,projeto,4929.42-30,CONSTRUÇÃO DO CENTRO DE INICIAÇÃO AO ESPORTE DO IFC CAMPUS CAMBORIU,-27.0159786817851,-48.6554200643444,40.0,733.0,41,35.76384731,35.76384731,35.76384731,ate_100m,Alameda Alma Mater,Alameda Alma Mater,True,snap_ate_500m,41,40
42,P_49792.42-59,projeto,49792.42-59,CONSTRUÇÃO DE UNIDADE BÁSICA DE SAÚDE,-27.0029,-48.6619,40.0,735.0,42,13.04807544,13.04807544,13.04807544,ate_100m,Rua Monte Castelito,Rua Monte Castelito,True,snap_ate_500m,42,41
43,P_118283.42-62,projeto,118283.42-62,"Construção de Pista de Skate, Patins e Similares no Município de Balneário Camboriú/SC.",-26.9952814,-48.6306498,40.0,642.0,43,6.104230388,6.104230388,6.104230388,ate_100m,Rua 2450,Rua 2450,True,snap_ate_500m,43,42
44,P_49791.42-02,projeto,49791.42-02,CONSTRUÇÃO DE UNIDADE BÁSICA DE SAÚDE,-27.04264366358764,-48.65226611812593,40.0,734.0,44,29.45864954,29.45864954,29.45864954,ate_100m,Rua Avelino Bertelli,Rua Avelino Bertelli,True,snap_ate_500m,44,43
45,P_19256.42-84,projeto,19256.42-84,Pavimentação em vias urbanas do município de Balneário Camboriú.,-26.9864,-48.6428,40.0,679.0,45,0.3971073194,0.3971073194,0.3971073194,ate_100m,,,True,snap_ate_500m,45,44
46,P_33602.42-20,projeto,33602.42-20,"CR 909103/2020 - IMPLANTAÇÃO DE SINALIZAÇÃO TURÍSTICA E INTERPRETATIVA, NO MUNICÍPIO DE BALNEÁRIO CAMBORIÚ/ SC.",-27.006,-48.62794,33.333333333333336,986.0,46,0.5628364392,0.5628364392,0.5628364392,ate_100m,5ª Avenida,5ª Avenida,True,snap_ate_500m,46,45
47,P_49010.42-20,projeto,49010.42-20,AMPLIAÇÃO DE UNIDADE BÁSICA DE SAÚDE,-26.978954600803508,-48.64911854267121,40.0,559.0,47,24.39425511,24.39425511,24.39425511,ate_100m,,,True,snap_ate_500m,47,46
48,P_103299.42-41,projeto,103299.42-41,Macrodrenagem da Praia Central de Balneário Camboriú - Trecho Sul,-26.99089,-48.62905,33.333333333333336,1116.0,48,8.753462263,8.753462263,8.753462263,ate_100m,Avenida Atlântica,Avenida Atlântica,True,snap_ate_500m,48,47
49,P_55491.42-41,projeto,55491.42-41,CONSTRUÇÃO DE UNIDADE DE PRONTO ATENDIMENTO - PORTE I,-27.08759437552025,-48.629007339477546,46.66666666666666,431.0,49,42.69373689,42.69373689,42.69373689,ate_100m,Rua 816 A,Rua 816 A,True,snap_ate_500m,49,48
