id_projeto,valor_empenho,valor_liquidado,valor_pago,qtd_registros_empenho,consulta_ok,erro
101337.42-43,3665404.0,,,1,True,
103299.42-41,1780775.04,,,2,True,
108792.42-00,320000.0,,,1,True,
111257.42-78,,,,0,True,
111277.42-80,,,,0,True,
118283.42-62,,,,0,True,
118956.42-80,,,,0,True,
123623.42-01,,,,0,True,
124708.42-61,,,,0,True,
127973.42-68,,,,0,True,
1314.42-81,24580760.54,0.0,24266262.150000002,3,True,
132662.42-92,,,,0,True,
132710.42-97,,,,0,True,
136003.42-19,,,,0,True,
136087.42-31,,,,0,True,
137124.42-02,,,,0,True,
137161.42-91,,,,0,True,
138872.42-02,,,,0,True,
138928.42-70,,,,0,True,
14791.42-17,599971.72,0.0,0.0,1,True,
15027.42-76,477500.0,,,1,True,
1535.42-53,27500000.0,0.0,27056787.4,3,True,
16870.42-72,,,,0,True,
17824.42-50,,,,0,True,
17855.42-09,,,,0,True,
19256.42-84,4785919.0,,,1,True,
21223.42-60,,,,0,True,
21802.42-19,,,,0,True,
21910.42-41,,,,0,True,
2301.42-01,6927643.0,0.0,1717048.1400000001,3,True,
23374.42-70,,,,0,True,
23382.42-24,,,,0,True,
24552.42-68,,,,0,True,
24600.42-07,727886.48,3791.5,102106.79,3,True,
25377.42-07,65500.0,0.0,65500.0,1,True,
26009.42-23,578003.0,,,1,True,
26081.42-00,414602.09,0.0,24603.09,2,True,
27252.42-90,201578.79,0.0,132660.59,2,True,
28891.42-01,1975886.35,0.0,0.0,1,True,
29218.42-28,,,,0,True,
29698.42-29,163884.12,0.0,0.0,2,True,
29757.42-91,5743773.0,,,1,True,
3004.42-46,57142.6,0.0,54051.55,1,True,
33602.42-20,2391283.0,,,1,True,
33621.42-09,,,,1,True,
34216.42-00,960019.0,,,1,True,
38071.42-91,1277499.02,,,3,True,
3886.42-09,380000.0,0.0,0.0,2,True,
38944.42-12,2844799.69,,,3,True,
3902.42-53,116728.67,0.0,108498.17,2,True,
39119.42-06,3392663.36,,,4,True,
39844.42-23,2549716.2,,,2,True,
42333.42-65,,,,0,True,
42372.42-68,30000000.0,,,1,True,
42623.42-12,1799799.69,,,1,True,
42792.42-85,,,,0,True,
44465.43-30,,,,0,True,
45662.42-62,,,,0,True,
46608.42-96,,,,0,True,
47268.42-66,,,,0,True,
47820.42-05,,,,0,True,
49010.42-20,,,,0,True,
4929.42-30,6622027.17,0.0,0.0,9,True,
4931.42-00,,,,0,True,
49791.42-02,,,,0,True,
49792.42-59,,,,0,True,
53517.42-71,,,,0,True,
55491.42-41,,,,0,True,
5655.42-49,804745.44,1495.59,401753.05,2,True,
5657.42-73,,,,0,True,
5658.42-30,,,,0,True,
5659.42-08,,,,0,True,
6250.42-96,32612.3,0.0,32612.3,1,True,
6323.42-42,344658.15,5257.79,339400.36,1,True,
63721.42-47,499.58,0.0,0.0,1,True,
6606.42-35,1500000.0,0.0,0.0,7,True,
72489.42-58,,,,0,True,
72490.42-28,,,,0,True,
72492.42-30,,,,0,True,
72494.42-43,,,,0,True,
73901.42-59,,,,0,True,
74418.42-19,,,,0,True,
74711.42-59,,,,0,True,
74743.42-53,,,,0,True,
75761.42-54,,,,0,True,
76945.42-70,,,,0,True,
78920.42-32,,,,0,True,
78957.42-09,,,,0,True,
79999.42-50,,,,0,True,
80001.42-48,,,,0,True,
80202.42-40,,,,0,True,
80472.42-38,,,,0,True,
82121.42-09,,,,0,True,
83973.42-02,,,,0,True,
83976.42-61,,,,0,True,
83978.42-74,,,,0,True,
84180.42-04,,,,0,True,
85017.42-49,,,,0,True,
85624.42-86,,,,0,True,
85835.42-46,,,,0,True,
86068.42-00,,,,0,True,
86070.42-27,,,,0,True,
86644.42-90,,,,0,True,
86796.42-97,,,,0,True,
86815.42-00,,,,0,True,
86840.42-10,,,,0,True,
86844.42-36,,,,0,True,
86901.42-96,,,,0,True,
86922.42-77,,,,0,True,
87078.42-47,,,,0,True,
87173.42-43,,,,0,True,
87255.42-00,,,,0,True,
87342.42-41,,,,0,True,
87348.42-70,,,,0,True,
87400.42-58,,,,0,True,
87401.42-04,,,,0,True,
87559.42-30,,,,0,True,
87703.42-31,,,,0,True,
87704.42-98,,,,0,True,
87902.42-21,,,,0,True,
87904.42-34,,,,0,True,
87922.42-56,,,,0,True,
87957.42-10,,,,0,True,
88027.42-53,,,,0,True,
88800.42-20,,,,0,True,
91244.43-16,,,,0,True,
93049.42-75,299999.75,0.0,0.0,1,True,
94459.42-04,672443.0,,,1,True,
96874.42-18,,,,0,True,
97587.42-09,,,,0,True,
98514.42-88,,,,0,True,
99255.42-58,,,,0,True,
